番号,施設名,lat,lon,所在地,収容人数,連絡先,避難者数,内訳男性,内訳女性,飲料水,食事,使用可能トイレ,電気,ガス,生活用水,固定電話,携帯電話,データ通信,救護所設置,医療チームの巡回,昼間人数,夜間人数,75歳以上,未就学児,過密度,毛布等寝具,室温度管理,手洗い環境,トイレ掃除,土足禁止,下水,ごみ集積場所,館内禁煙,ペット収容所,下痢,嘔吐,咳・痰,発熱,人工呼吸器,在宅酸素,透析,糖尿病（要インスリン）,緊急性のある精神疾患,緊急歯科要治療,緊急処置を要する妊婦,要配慮者,うち医療的配慮者,うち福祉的配慮者,うち外国人,インフルエンザ,感染性胃腸炎,食中毒,その他緊急事項
sh30391071,みなべ町保健福祉センター,33.793055200000005,135.33029299999998,みなべ町東本庄100,200,0739-74-3336,80,32.0,48.0,A,A,A,A,A,A,1,1,1,0,0,32,80,16,1,A,A,B,A,1,1,0,1,1,1,1,0,1,2,0,0,0,2,0,1,0,,0,2,0,,,,
sh30391017,南部小学校体育館,33.7662,135.32164,みなべ町北道288,1000,0739-72-2137,315,126.0,189.0,A,A,B,A,B,A,1,1,0,0,0,140,315,73,1,A,C,C,B,1,0,0,1,0,1,2,2,15,13,1,2,3,4,1,2,0,,0,1,2,,,,
sh30391083,みなべ公民館,33.765499,135.322566,みなべ町芝503,100,0739-72-1400,75,30.0,45.0,A,A,B,A,C,C,1,1,1,0,0,30,75,15,0,A,A,B,B,1,1,0,1,1,0,0,0,0,0,0,0,0,1,0,1,0,,1,1,0,,,,
sh30391070,ゆうゆう館,33.7522606,135.326885,みなべ町埴田1444-1,183,0739-72-5900,100,40.0,60.0,A,A,A,A,A,A,1,1,0,0,0,40,100,20,1,A,A,B,A,1,1,0,0,1,1,2,0,3,2,0,0,2,2,0,0,0,,0,1,0,,,,
sh30391067,岩代小学校体育館,33.781675,135.281427,みなべ町西岩代2162,300,0739-72-2242,103,41.0,62.0,A,A,C,A,C,A,1,1,1,0,0,41,103,20,16,A,A,A,C,0,0,0,0,0,0,1,0,1,1,0,1,0,1,0,0,0,,1,7,3,,,,ぜんそく
sh30391081,生涯学習センター,33.791589,135.330586,みなべ町谷口301-4,300,0739-74-3333,180,72.0,108.0,A,A,A,A,A,B,1,1,0,0,0,72,180,36,1,A,A,B,A,1,1,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,,0,0,1,,,,
sh30391051,高城公民館,33.846675,135.356248,みなべ町広野9,200,0739-75-2454,80,32.0,48.0,B,A,A,A,A,A,1,1,1,0,0,32,80,16,1,A,A,B,B,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,,,,
sh30391056,高城高齢者センター,33.8517727,135.340567,みなべ町高野1404,50,0739-75-2754,20,8.0,12.0,A,A,B,A,B,B,1,1,1,0,0,12,20,4,0,A,A,B,B,1,1,0,1,0,1,2,0,0,0,1,1,0,0,0,2,0,,0,3,0,,,,
sh30391078,清川公民館,33.8533465,135.398804,みなべ町清川2223-3,300,0739-76-2249,180,72.0,108.0,B,A,C,A,A,C,1,1,1,0,0,72,180,36,1,A,C,B,C,0,1,0,1,0,1,4,8,2,4,1,2,2,3,1,1,0,,2,7,1,,,,
sh30391036,旧清川中学校体育館,33.854582,135.399451,みなべ町清川2202,1000,0739-76-2134,30,12.0,18.0,A,A,A,A,A,A,1,1,0,0,0,12,30,6,0,A,A,B,A,1,1,0,1,1,1,0,0,3,1,0,0,0,1,0,1,0,,1,1,0,,,,
sh30206039,田辺東部小学校,33.730436499999996,135.399045,田辺市南新万28-1,738,0739-25-2580,665,266.0,399.0,A,A,B,A,B,A,1,1,1,0,0,262,665,130,3,A,A,B,A,0,1,0,0,1,1,3,4,2,3,0,0,2,1,0,1,1,,1,1,1,,,,
sh30206039,ひがしコミュニティセンター,33.730436499999996,135.399045,田辺市南新万28-1,133,0739-22-2088,120,48.0,72.0,A,A,A,A,B,A,1,1,1,1,0,48,120,24,1,A,A,B,C,1,1,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,,0,0,0,,,,
sh30206041,田辺第三小学校,33.7351915,135.36955600000002,田辺市上の山二丁目6-10,463,0739-22-0466,460,184.0,276.0,A,A,B,A,A,B,1,1,1,0,0,184,460,92,2,A,A,B,A,1,1,0,1,1,1,1,0,0,0,0,0,2,1,1,0,0,,1,1,1,,,,
sh30206007,田辺スポーツパーク,33.7377092,135.366499,田辺市上の山一丁目23-1-1,800,0739-25-2531,640,256.0,384.0,A,A,C,A,B,C,1,1,1,0,0,256,640,128,3,A,B,C,C,1,1,0,0,1,1,8,6,8,10,2,1,3,2,0,0,0,,2,1,3,,,,
